iter	Logloss
0	0.6924833457
1	0.6915130019
2	0.6911356118
3	0.6906354891
4	0.6901001202
5	0.6892492043
6	0.6885618766
7	0.6881862481
8	0.6875643267
9	0.6868134207
10	0.6863457163
11	0.685782969
12	0.6855029133
13	0.6848199765
14	0.6844262348
15	0.6843627029
16	0.6834703088
17	0.6829436951
18	0.6824503607
19	0.6821184953
20	0.6815907823
21	0.6810645329
22	0.6805091235
23	0.6801809536
24	0.6795023614
25	0.6788902415
26	0.678367469
27	0.67810248
28	0.6775792109
29	0.6769650446
30	0.6764761011
31	0.6759996679
32	0.6755782697
33	0.6752149463
34	0.6744181116
35	0.6740964254
36	0.6736110051
37	0.6732741925
38	0.6726062894
39	0.6717856858
40	0.6713311871
41	0.6709694134
42	0.6702102356
43	0.669607785
44	0.6692167785
45	0.6687040991
46	0.6679786444
47	0.6675379276
48	0.6668749981
49	0.6664552026
50	0.6657980349
51	0.6653506623
52	0.6649903589
53	0.6642389562
54	0.6638544268
55	0.6633460455
56	0.6627534164
57	0.6623058253
58	0.6619932055
59	0.6613992916
60	0.6606226828
61	0.6599083079
62	0.6594507562
63	0.6591977411
64	0.658486565
65	0.6577736537
66	0.6573369702
67	0.6570115156
68	0.6562124093
69	0.6555053459
70	0.6549200482
71	0.6544206076
72	0.6537785596
73	0.6533400748
74	0.6528904902
75	0.6526019441
76	0.6518984172
77	0.6512568063
78	0.6508235733
79	0.6504400041
80	0.6500639982
81	0.6496302221
82	0.6493738161
83	0.6488801373
84	0.6481859485
85	0.6478442682
86	0.6473520199
87	0.6466289494
88	0.6464274658
89	0.6460885207
90	0.6456537777
91	0.6452015638
92	0.6444173323
93	0.6438477238
94	0.6432137489
95	0.6429733833
96	0.6426720884
97	0.6423690253
98	0.6419733961
99	0.6416368021
100	0.6411529846
101	0.6407300565
102	0.6400138802
103	0.6395908925
104	0.6391551097
105	0.6386729214
106	0.6380513708
107	0.6374280651
108	0.6370058987
109	0.6364997493
110	0.6361702018
111	0.6354898877
112	0.6348104146
113	0.6343044374
114	0.6338596476
115	0.6335101061
116	0.633090304
117	0.6326497065
118	0.6321729024
119	0.6315582527
120	0.6306932569
121	0.6302485466
122	0.62966207
123	0.6296060152
124	0.6291321317
125	0.628884395
126	0.6284740236
127	0.6280508108
128	0.627444466
129	0.6266886592
130	0.6264421542
131	0.6261157857
132	0.6255077653
133	0.6251437267
134	0.6247330639
135	0.6242689159
136	0.6239267654
137	0.6238091985
138	0.6231448584
139	0.6224858628
140	0.6221872303
141	0.6217793226
142	0.6212887698
143	0.6207961374
144	0.6202257607
145	0.6198526356
146	0.6193822291
147	0.6189727585
148	0.6184754107
149	0.6179350615
150	0.6173979375
151	0.616853012
152	0.6163171199
153	0.6160555614
154	0.6153217488
155	0.6146416863
156	0.6139634781
157	0.613598254
158	0.6133600341
159	0.6130701833
160	0.6126256386
161	0.6122031742
162	0.611806194
163	0.6111697819
164	0.6107737422
165	0.6100432475
166	0.6097325749
167	0.6093165014
168	0.6089213755
169	0.6086074644
170	0.6080812613
171	0.6076937517
172	0.6074719495
173	0.6069451769
174	0.6065557732
175	0.6060538226
176	0.6053378317
177	0.6048659947
178	0.6043989327
179	0.6041371094
180	0.6034989026
181	0.603174958
182	0.6027319961
183	0.6023434599
184	0.6019580364
185	0.6016359197
186	0.6012502578
187	0.6006441381
188	0.6003146701
189	0.5997333659
190	0.5990247594
191	0.5984517137
192	0.5980999006
193	0.5976611839
194	0.597090688
195	0.5967731939
196	0.5964476797
197	0.5960069762
198	0.595275157
199	0.5948733158
200	0.5945712394
201	0.5941672193
202	0.5937097867
203	0.5934829381
204	0.5931701064
205	0.5926505261
206	0.5920837654
207	0.5916422009
208	0.5911368595
209	0.5904638105
210	0.5900653932
211	0.5897663898
212	0.5893378523
213	0.5889879465
214	0.5883452429
215	0.5879753364
216	0.5875252883
217	0.5870204237
218	0.5867309239
219	0.5863459773
220	0.5862034096
221	0.5858278341
222	0.5855325262
223	0.5852348275
224	0.5846213235
225	0.5844762127
226	0.5841550893
227	0.5836594767
228	0.5832456152
229	0.5828224487
230	0.5824585425
231	0.5820285016
232	0.5816006992
233	0.5812708338
234	0.5809060997
235	0.5807030069
236	0.5803370674
237	0.5801976389
238	0.5798337857
239	0.5793868237
240	0.578838302
241	0.5781849755
242	0.5778494543
243	0.5775652462
244	0.5771888031
245	0.5768113732
246	0.5763495432
247	0.5759726697
248	0.5752937396
249	0.5748873552
250	0.5742902623
251	0.5736196902
252	0.5732997391
253	0.5729718076
254	0.5726589958
255	0.5721841521
256	0.5718153715
257	0.5714592801
258	0.5712147024
259	0.5708618561
260	0.5704099933
261	0.5701349311
262	0.569650756
263	0.5689796276
264	0.5683947868
265	0.5680002901
266	0.5674155884
267	0.5669350293
268	0.5665587717
269	0.5663196511
270	0.5659424
271	0.5657977462
272	0.56521372
273	0.5648289985
274	0.5645556053
275	0.5641265048
276	0.5636656417
277	0.5630591445
278	0.5626478857
279	0.5620716612
280	0.5616777539
281	0.5613170134
282	0.5610494216
283	0.5606997477
284	0.5602805813
285	0.5600475007
286	0.5596618586
287	0.5593186484
288	0.5588290095
289	0.5585640669
290	0.5580416587
291	0.557495892
292	0.5571167668
293	0.5567706691
294	0.5565550923
295	0.5560357902
296	0.5554679235
297	0.5552357237
298	0.5546132988
299	0.5542385512
