iter	Passed	Remaining
0	1	306
1	1	295
2	2	265
3	3	253
4	4	245
5	4	239
6	5	234
7	6	231
8	7	229
9	7	226
10	8	223
11	9	221
12	9	219
13	10	218
14	11	216
15	12	217
16	12	216
17	13	215
18	14	213
19	15	212
20	15	212
21	16	210
22	17	209
23	18	208
24	18	207
25	19	206
26	20	205
27	21	204
28	21	203
29	22	202
30	23	201
31	23	200
32	24	199
33	25	198
34	26	197
35	26	196
36	27	195
37	28	195
38	29	194
39	29	193
40	30	192
41	31	191
42	31	191
43	32	190
44	33	189
45	34	188
46	34	187
47	35	186
48	36	186
49	37	185
50	37	184
51	38	184
52	39	183
53	40	182
54	40	181
55	41	180
56	42	180
57	43	179
58	43	179
59	44	179
60	45	178
61	46	177
62	47	176
63	47	176
64	48	175
65	49	174
66	49	173
67	50	172
68	51	172
69	52	171
70	52	170
71	53	169
72	54	168
73	55	167
74	55	167
75	56	166
76	57	165
77	57	164
78	58	163
79	59	163
80	60	162
81	60	161
82	61	161
83	62	160
84	63	159
85	63	158
86	64	158
87	65	157
88	66	156
89	66	155
90	67	154
91	68	154
92	68	153
93	69	152
94	70	151
95	71	151
96	71	150
97	72	149
98	73	148
99	73	147
100	74	147
101	75	146
102	76	145
103	77	145
104	77	144
105	78	143
106	79	142
107	79	142
108	80	141
109	81	140
110	82	139
111	82	139
112	83	138
113	84	137
114	85	136
115	85	136
116	86	135
117	87	134
118	87	133
119	88	133
120	89	132
121	90	131
122	91	130
123	91	130
124	92	129
125	93	128
126	94	128
127	94	127
128	95	126
129	96	125
130	97	125
131	97	124
132	98	123
133	99	123
134	100	122
135	100	121
136	101	120
137	102	120
138	103	119
139	103	118
140	104	117
141	105	117
142	105	116
143	106	115
144	107	115
145	108	114
146	109	113
147	109	112
148	110	112
149	111	111
150	112	110
151	112	109
152	113	109
153	114	108
154	115	107
155	115	107
156	116	106
157	117	105
158	118	104
159	119	104
160	119	103
161	120	102
162	121	101
163	122	101
164	122	100
165	123	99
166	124	99
167	125	98
168	125	97
169	126	96
170	127	96
171	128	95
172	128	94
173	129	93
174	130	93
175	131	92
176	131	91
177	132	90
178	133	90
179	134	89
180	134	88
181	135	87
182	136	87
183	136	86
184	137	85
185	138	84
186	139	84
187	140	83
188	140	82
189	141	81
190	142	81
191	143	80
192	143	79
193	144	78
194	145	78
195	145	77
196	146	76
197	147	75
198	148	75
199	148	74
200	149	73
201	150	72
202	151	72
203	151	71
204	152	70
205	153	70
206	154	69
207	154	68
208	155	67
209	156	67
210	157	66
211	158	65
212	158	64
213	159	64
214	160	63
215	161	62
216	161	61
217	162	61
218	163	60
219	164	59
220	164	58
221	165	58
222	166	57
223	167	56
224	167	55
225	168	55
226	169	54
227	170	53
228	171	53
229	171	52
230	172	51
231	173	50
232	174	50
233	174	49
234	175	48
235	176	47
236	176	47
237	177	46
238	178	45
239	179	44
240	180	44
241	180	43
242	181	42
243	182	41
244	183	41
245	184	40
246	184	39
247	185	38
248	186	38
249	187	37
250	187	36
251	188	35
252	189	35
253	190	34
254	190	33
255	191	32
256	192	32
257	193	31
258	193	30
259	194	29
260	195	29
261	196	28
262	196	27
263	197	26
264	198	26
265	199	25
266	199	24
267	200	23
268	201	23
269	202	22
270	202	21
271	203	20
272	204	20
273	205	19
274	205	18
275	206	17
276	207	17
277	208	16
278	208	15
279	209	14
280	210	14
281	210	13
282	211	12
283	212	11
284	213	11
285	213	10
286	214	9
287	215	8
288	216	8
289	216	7
290	217	6
291	218	5
292	219	5
293	219	4
294	220	3
295	221	2
296	222	2
297	222	1
298	223	0
299	224	0
